繁體(OpenCC)	原書詞頭	简体	吴拼
烏賊混子	烏賊混子	乌贼混子	u zaq wen tsy
烏腳雞	烏腳鷄	乌脚鸡	u ciaq ci
萵苣筍	萵苣笋	莴苣笋	u jiu syun
誣告	誣告	诬告	u kau
誣告	誣告	诬告	wu kau
熓敦敦	熓敦敦	𤆡敦敦	u ten ten
捂心	捂心	捂心	u shin
焐	焐	焐	u5
焐酥豆	焐酥豆	焐酥豆	u su deu
車	車	车	ciu1
絹帕	絹帕	绢帕	ciu phae
鬼剃頭	鬼剃頭	鬼剃头	ciu thi deu
鬼頭風	鬼頭風	鬼头风	ciu deu fon
捲心菜	捲心菜	卷心菜	ciu shin tshe
捲尺	捲尺	卷尺	ciu tshaq
卷筆刀	捲筆刀	卷笔刀	ciu piq tau
舉手	舉手	举手	ciu shieu
句	句	句	ciu5
貴	貴	贵	ciu5
貴上	貴上	贵上	ciu zaon
虧煞	虧煞	亏煞	chiu saq
虧勒	虧勒	亏勒	chiu laq
圈	圈	圈	chiu3
圈癬	圈癣	圈癣	chiu shi
去風	去風	去风	chiu fon
去溼	去濕	去湿	chiu shiq
拳頭	拳頭	拳头	jiu deu
拳頭捏起	拳頭捏起	拳头捏起	jiu deu gniaq chi
顴骨	顴骨	颧骨	jiu kuaq
櫃檯	櫃臺	柜台	jiu de
櫃頭獅子	櫃頭獅子	柜头狮子	jiu deu sy tsy
櫃頭活猻	櫃頭活猻	柜头活狲	jiu deu waq sen
櫃牀	櫃牀	柜床	jiu zaon
元寶茶	元寶茶	元宝茶	gniu pau dzo
元寶籃	元寶籃	元宝篮	gniu pau lae
元寶桌	元寶桌	元宝桌	gniu pau tsoq
元寶魚	元寶魚	元宝鱼	gniu pau ng
原告	原告	原告	gniu kau
原配	原配	原配	gniu phei
愚豬	愚豬	愚猪	gniu tsyu
女婿	女婿	女婿	gniu shi
女家	女家	女家	gniu ko
女人	女人	女人	gniu gnin
女人家	女人家	女人家	gniu gnin ko
女人頭	女人頭	女人头	gniu gnin deu
女人爿	女人爿	女人爿	gniu gnin bae
女人客	女人客	女人客	gniu gnin khaq
軟	軟	软	gniu6
軟綿綿	軟綿綿	软绵绵	gniu mi mi
軟柴	軟柴	软柴	gniu za
軟菜	軟菜	软菜	gniu tshe
軟泛泛	軟泛泛	软泛泛	gniu fae fae
軟相	軟相	软相	gniu shian
軟糖	軟糖	软糖	gniu daon
軟塌皮	軟塌皮	软塌皮	gniu thaq bi
軟塌塌	軟塌塌	软塌塌	gniu thaq thaq
蕊頭	蕊頭	蕊头	gniu deu
虛頭	虚頭	虚头	shiu deu
虛腫	虚腫	虚肿	shiu tson
虛㽺病	虚㽺病	虚㽺病	shiu shiq bin
楦頭	楦頭	楦头	shiu deu
毀	毁	毁	shiu5
㧦	㧦	㧦	shiu5
玄色	玄色	玄色	yu saq
圍巾	圍巾	围巾	yu cin
圍身布襴	圍身布襴	围身布襕	yu shin pu lae
圍裙	圍裙	围裙	yu jiun
榆樹	榆樹	榆树	yu zyu
圓	圓	圆	yu2
圓子	圓子	圆子	yu tsy
圓絲藍	圓絲藍	圆丝蓝	yu sy lae
圓矮凳	圓矮凳	圆矮凳	yu a ten
圓凳	圓凳	圆凳	yu ten
圓臺面	圓臺面	圆台面	yu de mi
圓規	圆規	圆规	yu kuei
圓領衫	圓領衫	圆领衫	yu lin sae
圓蛤	圓蛤	圆蛤	yu kaq
圓桌	圓桌	圆桌	yu tsoq
圓桌凳	圓桌凳	圆桌凳	yu tsoq ten
餘多	餘多	余多	yu tou
懸凌	懸凌	悬凌	yu lin
懸勢	懸勢	悬势	yu syu
羽毛球	羽毛球	羽毛球	yu mau jieu
雨	雨	雨	yu6
雨字頭	雨字頭	雨字头	yu zy deu
雨水	雨水	雨水	yu syu
雨披	雨披	雨披	yu phi
雨點	雨點	雨点	yu ti
雨衣	雨衣	雨衣	yu i
雨毛絲	雨毛絲	雨毛丝	yu mau sy
雨毛滯滯	雨毛滯滯	雨毛滞滞	yu mau ji ji
雨傘	雨傘	雨伞	yu sae
雨棚	雨棚	雨棚	yu ban
雨夾雪	雨夾雪	雨夹雪	yu kaq soq
雨壓落來	雨壓落來	雨压落来	yu aq loq le
預製板	預製板	预制板	yu tsyu pae
遠視眼	遠視眼	远视眼	yu zy ngae
遠足	遠足	远足	yu tsoq
衣櫥	衣櫥	衣橱	iu dzyu
衣櫥	衣櫥	衣橱	u dzyu
冤家	冤家	冤家	iu ko
冤繃	冤綳	冤绷	iu pan
冤枉	冤枉	冤枉	iu uaon
淤血	淤血	淤血	iu shiuq
鴛鴦	鴛鴦	鸳鸯	iu ian
椅子	椅子	椅子	iu tsy
椅子	椅子	椅子	u tsy
椅子	椅子	椅子	i tsy
椅子背	椅子背	椅子背	iu tsy pei
椅子背	椅子背	椅子背	u tsy pei
椅子背	椅子背	椅子背	i tsy pei
䩩	䩩	䩩	iu3
叭兒狗	叭兒狗	叭儿狗	pa er keu
擺	擺	摆	pa3
擺渡	擺渡	摆渡	pa du
擺渡船	擺渡船	摆渡船	pa du zoe
擺俏功	擺俏功	摆俏功	pa chiau kon
擺攤頭	擺攤頭	摆摊头	pa thae deu
擺場面	擺場面	摆场面	pa jian mi
擺平	擺平	摆平	pa bin
擺明	擺明	摆明	pa min
擺攤	擺攤	摆摊	pa thae
爸爸	爸爸	爸爸	pa pa
拜歲	拜歲	拜岁	pa syu
拜懺	拜懺	拜忏	pa tshae
拜生	拜生	拜生	pa san
拜梁王	拜梁王	拜梁王	pa lian waon
拜堂	拜堂	拜堂	pa daon
派	派	派	pha5
派○	派○	派○	pha5
派司牌	派司牌	派司牌	pha sy bae
派○賴○	派○賴○	派○赖○	pha la
派來	派來	派来	pha le
排	排	排	ba2
排○排○船	排○排○船	排○排○船	ba ba zoe
排銷	排銷	排销	ba shiau
排球	排球	排球	ba jieu
排頭	排頭	排头	ba deu
排場	排場	排场	ba jian
排門	排門	排门	ba men
排門板	排門板	排门板	ba men pae
排八字	排八字	排八字	ba paq zy
排骨	排骨	排骨	ba kuaq
排刷	排刷	排刷	ba syuq
牌子	牌子	牌子	ba tsy
牌九	牌九	牌九	ba cieu
牌位	牌位	牌位	ba wei
敗子	敗子	败子	ba tsy
敗家子	敗家子	败家子	ba ko tsy
敗家精	敗家精	败家精	ba ko cin
敗門枋	敗門枋	败门枋	ba men faon
鮊魚	鮊魚	鲌鱼	ba ng
☐	☐	☐	mha1
☐	☐	☐	ma2
埋怨	埋怨	埋怨	ma iu
馬馬虎虎	馬馬虎虎	马马虎虎	ma ma fu fu
買主	買主	买主	ma tsyu
買面孔	買面孔	买面孔	ma mi khon
買面子	買面子	买面子	ma mi tsy
買賬	買賬	买账	ma cian
買勿出	買勿出	买勿出	ma vaq tshyuq
賣爹賣孃	賣爹賣孃	卖爹卖娘	ma tia ma gnian
賣野人頭	賣野人頭	卖野人头	ma ya gnin deu
賣相	賣相	卖相	ma shian
賣旺	賣旺	卖旺	ma waon
賣藥郎中	賣藥郎中	卖药郎中	ma yaq laon tson
𠲎	𠲎	𠲎	va2
帶	帶	带	ta5
帶	帶	带	tae5
帶孝	帶孝	带孝	ta hau
帶豆	帶豆	带豆	ta deu
帶信	帶信	带信	ta shin
帶髮尼姑	帶髮尼姑	带发尼姑	ta faq gni ku
帶魚	帶魚	带鱼	ta ng
戴高帽子	戴高帽子	戴高帽子	ta kau mau tsy
它山堰	它山堰	它山堰	tha sae i
太師椅	太師椅	太师椅	tha sy i
太師椅	太師椅	太师椅	tha sy iu
太太	太太	太太	tha tha
太○饒	太○饒	太○饶	tha gniau
太婆	太婆	太婆	tha bou
太陽	太陽	太阳	tha yan
太陽底下	太陽底下	太阳底下	tha yan ti gho
太陽菩薩	太陽菩薩	太阳菩萨	tha yan bu saq
太陽帽	太陽帽	太阳帽	tha yan mau
太陽眼	太陽眼	太阳眼	tha yan ngae
太陽堆裏	太陽堆裏	太阳堆里	tha yan tei li
太陽穴	太陽穴	太阳穴	tha yan yuq
太陰菩薩	太陰菩薩	太阴菩萨	tha in bu saq
太公	太公	太公	tha kon
太白星	太白星	太白星	tha baq shin
埭	埭	埭	da2
大字	大字	大字	da zy
大字簿	大字簿	大字簿	da zy bu
大便	大便	大便	da bi
大解	大解	大解	da ka
大殮	大殮	大殓	da li
大麗花	大麗花	大丽花	da li huo
大度	大度	大度	da du
大路	大路	大路	da lu
大寫字	大寫字	大写字	da shia zy
大考	大考	大考	da khau
大菜	大菜	大菜	da tshe
大菜師父	大菜師父	大菜师父	da tshe sy vu
大菜桌凳	大菜桌凳	大菜桌凳	da tshe tsoq ten
大菜臺子	大菜臺子	大菜台子	da tshe de tsy
大蒜	大蒜	大蒜	da soe
大蒜頭	大蒜頭	大蒜头	da soe deu
大圈結	大圈結	大圈结	da chiu ciq
大亨	大亨	大亨	da han
大方	大方	大方	da faon
大青頭	大青頭	大青头	da chin deu
大身	大身	大身	da shin
大紅	大紅	大红	da ghon
大約毛	大約毛	大约毛	da iaq mau
大約	大約	大约	da iaq
𢪂	𢪂	𢪂	da6
𢪂𢪂腐	𢪂𢪂腐	𢪂𢪂腐	da da vu
𢪂頭皮	𢪂頭皮	𢪂头皮	da deu bi
𢪂癢棒	𢪂癢棒	𢪂痒棒	da yan baon
𢪂藤	𢪂藤	𢪂藤	da den
哪	哪	哪	nha1
哪	哪	哪	naq8
淖泥	淖泥	淖泥	na gni
淖泥菩薩	淖泥菩薩	淖泥菩萨	na gni bu saq
淖泥污漿	淖泥污漿	淖泥污浆	na gni u cian
淖泥塊	淖泥塊	淖泥块	na gni khuei
奶水	奶水	奶水	na syu
奶奶婆	奶奶婆	奶奶婆	na na bou
奶糕	奶糕	奶糕	na kau
奶牙	奶牙	奶牙	na ngo
奶花香	奶花香	奶花香	na huo shian
奶香	奶香	奶香	na shian
奶酣	奶酣	奶酣	na he
奶油	奶油	奶油	na yeu
奶油包頭	奶油包頭	奶油包头	na yeu pau deu
奶油小生	奶油小生	奶油小生	na yeu shiau san
奶油色	奶油色	奶油色	na yeu saq
奶頭	奶頭	奶头	na deu
奶奶頭	奶奶頭	奶奶头	na na deu
奶黃	奶黄	奶黄	na waon
奶花	奶花	奶花	na hun
奶嬸	奶嬸	奶婶	na shin
奶𤷾	奶𤷾	奶𤷾	na chiq
嬲嬲和	嬲嬲和	嬲嬲和	na na ghou
嬲嬲和	嬲嬲和	嬲嬲和	na na wu
嬲和	嬲和	嬲和	na ghou
嬲和	嬲和	嬲和	na wu
嬲和嬉頭	嬲和嬉頭	嬲和嬉头	na ghou shi deu
嬲和嬉頭	嬲和嬉頭	嬲和嬉头	na wu shi deu
嬲和東西	嬲和東西	嬲和东西	na ghou ton shi
嬲和東西	嬲和東西	嬲和东西	na wu ton shi
拉買主	拉買主	拉买主	lha ma tsyu
拉柴	拉柴	拉柴	la za
拉馬	拉馬	拉马	lha mo
拉關係	拉關係	拉关系	lha kuae shi
拉手	拉手	拉手	lha shieu
啦	啦	啦	lha1
啦	啦	啦	laq8
剌開	剌開	剌开	la khe
垃圾	垃圾	垃圾	la shi
垃圾畚斗	垃圾畚斗	垃圾畚斗	la shi pen teu
喇叭	喇叭	喇叭	la pa
喇叭褲	喇叭褲	喇叭裤	la pa khu
喇叭花	喇叭花	喇叭花	la pa huo
喇叭裙	喇叭裙	喇叭裙	la pa jiun
喇叭袖	喇叭袖	喇叭袖	la pa zhieu
賴	賴	赖	la6
賴孵	賴孵	赖孵	la bu
賴孵雞	賴孵鷄	赖孵鸡	la bu ci
賴○柴鬍子	賴○柴鬍子	赖○柴胡子	la za wu tsy
賴花頭	賴花頭	赖花头	la huo deu
賴三	賴三	赖三	la sae
賴屙皮	賴屙皮	赖屙皮	la ou bi
賴臭皮	賴臭皮	赖臭皮	la chieu bi
賴賬	賴賬	赖账	la cian
賴婚	賴婚	赖婚	la huen
賴學	賴學	赖学	la ghoq
賴學精	賴學精	赖学精	la ghoq cin
攋	攋	𪮶	la6
攋草耙	攋草耙	𪮶草耙	la tshau bo
攋藤	攋藤	𪮶藤	la den
癩施○	癩施○	癞施○	la sy
癩施○蛤蚆	癩施○蛤蚆	癞施○蛤蚆	la sy kaq po
癩史○哥○	癩史○哥○	癞史○哥○	la sy kou
癩嘴小娘	癩嘴小娘	癞嘴小娘	la tsyu shiau gnian
癩頭	癩頭	癞头	la deu
癩頭花	癩頭花	癞头花	la deu huo
癩頭兒子	癩頭兒子	癞头儿子	la deu ng tsy
癩蛤蚆	癩蛤蚆	癞蛤蚆	la kaq po
差	差	差	tsha1
差○	差○	差○	tsha1
差○板桌	差○板桌	差○板桌	tsha pae tsoq
差○活○	差○活○	差○活○	tsha waq
差○魚	差○魚	差○鱼	tsha ng
差○魚頭	差○魚頭	差○鱼头	tsha ng deu
蔡○眼	蔡○眼	蔡○眼	tsha ngae
𱚼	𱚼	𱚼	dza6
𱚼尿	𱚼尿	𱚼尿	dza syu
𱚼屁蟲	𱚼屁蟲	𱚼屁虫	dza phi dzon
𱚼痢疾	𱚼痢疾	𱚼痢疾	dza li jiq
𱚼肚皮	𱚼肚皮	𱚼肚皮	dza du bi
𱚼尿撲	𱚼尿撲	𱚼尿扑	dza syu phoq
𱚼爛屙	𱚼爛屙	𱚼烂屙	dza lae ou
𱚼屙	𱚼屙	𱚼屙	dza ou
𱚼屙撲	𱚼屙撲	𱚼屙扑	dza ou phoq
𱚼屙出	𱚼屙出	𱚼屙出	dza ou tshyuq
咋	咋	咋	dza6
咋依八𠡒	咋依八𠡒	咋依八𠡒	dza i paq tei
咋貌	咋貌	咋貌	dza mau
咋貌介	咋貌介	咋貌介	dza mau ka
咋貌介	咋貌介	咋貌介	dza mau kaq
咋相貌	咋相貌	咋相貌	dza shian mau
咋相貌介	咋相貌介	咋相貌介	dza shian mau ka
咋相貌介	咋相貌介	咋相貌介	dza shian mau kaq
咋話	咋話	咋话	dza wo
咋管	咋管	咋管	dza kun
咋弄	咋弄	咋弄	dza lon
咋弄弄	咋弄弄	咋弄弄	dza lon lon
咋結煞	咋結煞	咋结煞	dza ciq saq
灑藥水	灑藥水	洒药水	sa yaq syu
曬花⿱寨	曬花⿱寨	晒花⿱寨	sa huo za
曬臺	曬臺	晒台	sa de
曬場	曬場	晒场	sa jian
曬癟葛藤	曬癟葛藤	晒瘪葛藤	sa piq kaq den
曬日頭菩	曬日頭菩	晒日头菩	sa gniq deu bu
柴	柴	柴	za2
柴刀	柴刀	柴刀	za tau
柴爿	柴爿	柴爿	za bae
柴間	柴間	柴间	za kae
柴油	柴油	柴油	za yeu
柴油桶	柴油桶	柴油桶	za yeu don
柴堆	柴堆	柴堆	za tei
柴蓬	柴蓬	柴蓬	za bon
柴白絳花	柴白絳花	柴白绛花	za baq cian huo
柴角卵	柴角卵	柴角卵	za koq loe
豺狗	豺狗	豺狗	za keu
㩟	㩟	㩟	za6
⿱寨	⿱寨	⿱寨	za6
⿱寨魚	⿱寨魚	⿱寨鱼	za ng
階沿	階沿	阶沿	ka yi
街面屋	街面屋	街面屋	ka mi oq
街面房子	街面房子	街面房子	ka mi vaon tsy
街裏	街裏	街里	ka li
解樹螂	解樹螂	解树螂	ka zyu laon
解板	解板	解板	ka pae
解手	解手	解手	ka shieu
解縛	解縛	解缚	ka bou
解匠	解匠	解匠	ka zhian
解放帽	解放帽	解放帽	ka faon mau
解毒	解毒	解毒	ka doq
介	介	介	ka5
介	介	介	kaq7
介…既…	介…既…	介…既…	ka ci
介𡀂	介𡀂	介𡀂	ka lei
介管	介管	介管	ka kun
介辰光	介辰光	介辰光	ka zyun kuaon
戒指	戒指	戒指	ka tsy
戒厭	戒厭	戒厌	ka i
芥菜	芥菜	芥菜	ka tshe
庎櫥	庎櫥	庎橱	ka dzyu
屆	屆	届	ka5
解	解	解	ka5
解鈔票	解鈔票	解钞票	ka tshau phiau
揩	揩	揩	kha1
揩布	揩布	揩布	kha pu
揩油	揩油	揩油	kha yeu
揩桌布	揩桌布	揩桌布	kha tsoq pu
揩刷	揩刷	揩刷	kha syuq
揩刷團	揩刷團	揩刷团	kha syuq doe
卡車	卡車	卡车	kha tsho
茄○茄○鴨	茄○茄○鴨	茄○茄○鸭	ga ga ae
解	解	解	ga6
懈	懈	懈	ga6
懈舒舒	懈舒舒	懈舒舒	ga syu syu
懈門	懈門	懈门	ga men
懈口	懈口	懈口	ga kheu
外地人	外地人	外地人	nga di gnin
外快	外快	外快	nga khua
外碼頭	外碼頭	外码头	nga mo deu
外間	外間	外间	nga kae
外紐	外紐	外纽	nga gnieu
外婆	外婆	外婆	nga bou
外婆家	外婆家	外婆家	nga bou ko
外婆暈	外婆暈	外婆晕	nga bou yun
外鵝	外鵝	外鹅	nga ngou
外頭人	外頭人	外头人	nga deu gnin
外甥頑	外甥頑	外甥顽	nga san uae
外甥囡	外甥囡	外甥囡	nga san noe
外廂	外廂	外厢	nga shian
外頭	外頭	外头	nga deu
外行	外行	外行	nga ghaon
外行結夾	外行結夾	外行结夹	nga ghaon ciq kaq
外勤	外勤	外勤	nga jin
外公	外公	外公	nga kon
外八字	外八字	外八字	nga paq zy
外國紅	外國紅	外国红	nga koq ghon
捱	捱	挨	nga6
捱過	捱過	挨过	nga kou
蟹	蟹	蟹	ha3
蟹米鬚	蟹米鬚	蟹米须	ha mi syu
蟹肚子	蟹肚子	蟹肚子	ha tu tsy
蟹包	蟹包	蟹包	ha pau
蟹和尚	蟹和尚	蟹和尚	ha ghou zaon
蟹肚臍	蟹肚臍	蟹肚脐	ha du ji
蟹糊	蟹糊	蟹糊	ha wu
蟹爪菊	蟹爪菊	蟹爪菊	ha tsau ciuq
蟹醬	蟹醬	蟹酱	ha cian
蟹黃	蟹黄	蟹黄	ha uaon
蟹粉	蟹粉	蟹粉	ha fen
蟹青	蟹青	蟹青	ha chin
蟹腳鉗	蟹腳鉗	蟹脚钳	ha ciaq ji
蟹殼黃	蟹殼黄	蟹壳黄	ha khoq waon
蟹殼頂	蟹殼頂	蟹壳顶	ha khoq tin
蟹蓋頭	蟹蓋頭	蟹盖头	ha ke deu
鞋	鞋	鞋	gha2
鞋爿	鞋爿	鞋爿	gha bae
鞋面	鞋面	鞋面	gha mi
鞋底	鞋底	鞋底	gha ti
鞋底線	鞋底綫	鞋底线	gha ti shi
鞋○蒲○薺○	鞋○蒲○薺○	鞋○蒲○荠○	gha bu ji
鞋揎	鞋揎	鞋揎	gha shiu
鞋帶	鞋帶	鞋带	gha ta
鞋帽店	鞋帽店	鞋帽店	gha mau ti
鞋口	鞋口	鞋口	gha kheu
鞋幫	鞋幫	鞋帮	gha paon
鞋拔	鞋拔	鞋拔	gha baq
鞋舌頭	鞋舌頭	鞋舌头	gha zhiq deu
挨擠勿開	挨擠勿開	挨挤勿开	a ci vaq khe
挨攏	挨攏	挨拢	a lon
鴉片鬼	鸦片鬼	鸦片鬼	a phi ciu
㢊	㢊	㢊	a3
矮	矮	矮	a3
矮跍跍	矮跍跍	矮跍跍	a gu gu
矮墩墩	矮墩墩	矮墩墩	a ten ten
矮得得	矮得得	矮得得	a taq taq
矮棚狗	矮棚狗	矮棚狗	a ban keu
矮牆	矮牆	矮墙	a zhian
矮門	矮門	矮门	a men
矮凳	矮凳	矮凳	a ten
靉愁愁	靉愁愁	叆愁愁	a zeu zeu
爹	爹	爹	tia1
爹頭孃腳	爹頭娘腳	爹头娘脚	tia deu gnian ciaq
爹孃	爹娘	爹娘	tia gnian
嗲	嗲	嗲	tia3
家務事	家務事	家务事	cia wu zy
家常便飯	家常便飯	家常便饭	cia dzaon bi vae
姐夫	姐夫	姐夫	cia fu
姐姐	姐姐	姐姐	cia cia
借	借	借	cia5
借肩背	借肩背	借肩背	cia ci pei
借○借○蟲	借○借○蟲	借○借○虫	cia cia dzon
借○手	借○手	借○手	cia shieu
借○手㪝槌	借○手㪝槌	借○手㪝槌	cia shieu li dzyu
借○手半邊	借○手半邊	借○手半边	cia shieu pun pi
借因頭	借因頭	借因头	cia in deu
借○八○利○	借○八○利○	借○八○利○	cia paq li
笡	笡	笡	chia3
笡擺	笡擺	笡摆	chia pa
笡擺笡	笡擺笡	笡摆笡	chia pa chia
笡對過	笡對過	笡对过	chia tei kou
笡對面	笡對面	笡对面	chia tei mi
笡對頭	笡對頭	笡对头	chia tei deu
笡頭	笡頭	笡头	chia deu
且是	且是	且是	chia zy
且顧	且顧	且顾	chia ku
且可	且可	且可	chia khou
茄子	茄子	茄子	jia tsy
寫字檯	寫字臺	写字台	shia zy de
寫字間	寫字間	写字间	shia zy kae
寫意	寫意	写意	shia i
寫白字眼	寫白字眼	写白字眼	shia baq zy ngae
㕐	㕐	㕐	shia3
㕐茶	㕐茶	㕐茶	shia dzo
㕐酒	㕐酒	㕐酒	shia cieu
㕐老酒	㕐老酒	㕐老酒	shia lau cieu
斜衣旁	斜衣旁	斜衣旁	zhia i baon
斜鉤	斜鈎	斜钩	zhia keu
斜王旁	斜王旁	斜王旁	zhia waon baon
斜白眼	斜白眼	斜白眼	zhia baq ngae
謝	謝	谢	zhia6
謝任	謝任	谢任	zhia gnin
夜	夜	夜	ya6
夜點心	夜點心	夜点心	ya ti shin
夜點心	夜點心	夜点心	ya te shin
夜快	夜快	夜快	ya khua
夜快點	夜快點	夜快点	ya khua ti
夜快邊	夜快邊	夜快边	ya khua pi
夜到	夜到	夜到	ya tau
夜到頭	夜到頭	夜到头	ya tau deu
夜頭	夜頭	夜头	ya deu
夜到晚頭	夜到晚頭	夜到晚头	ya tau mae deu
夜到末頭	夜到末頭	夜到末头	ya tau maq deu
夜稻	夜稻	夜稻	ya dau
夜稻時	夜稻時	夜稻时	ya dau zy
夜稻米	夜稻米	夜稻米	ya dau mi
夜叉	夜叉	夜叉	ya tsho
夜叫	夜叫	夜叫	ya ciau
夜來香	夜來香	夜来香	ya le shian
夜蘭香	夜蘭香	夜兰香	ya lae shian
夜開花	夜開花	夜开花	ya khe huo
夜飯	夜飯	夜饭	ya vae
夜鱟	夜鱟	夜鲎	ya heu
夜羹飯	夜羹飯	夜羹饭	ya kan vae
夜場	夜場	夜场	ya jian
夜人客	夜人客	夜人客	ya gnin khaq
夜桶	夜桶	夜桶	ya don
夜桶箱	夜桶箱	夜桶箱	ya don shian
夜桶金箱	夜桶金箱	夜桶金箱	ya don cin shian
夜紅	夜紅	夜红	ya ghon
夜紅霞	夜紅霞	夜红霞	ya ghon ya
夜獨郎	夜獨郎	夜独郎	ya doq laon
野豬頭雲	野豬頭雲	野猪头云	ya tsyu deu yun
野雞	野鷄	野鸡	ya ci
野氣	野氣	野气	ya chi
野糊臉	野糊臉	野糊脸	ya wu li
野老公	野老公	野老公	ya lau kon
野貓	野貓	野猫	ya mae
野山筍	野山笋	野山笋	ya sae syun
野鴨	野鴨	野鸭	ya ae
野獸	野獸	野兽	ya shieu
呀呀糊	呀呀糊	呀呀糊	ia ia wu
拐	拐	拐	kua3
柺子	拐子	拐子	kua tsy
拐籮窠	拐籮窠	拐箩窠	kua lou khou
拐腳	拐腳	拐脚	kua cian
快	快	快	khua5
快活	快活	快活	khua waq
快活人	快活人	快活人	khua waq gnin
懷裏	懷裏	怀里	gua li
歪	歪	歪	hua3
歪嘴	歪嘴	歪嘴	hua tsyu
歪嘴辟得	歪嘴辟得	歪嘴辟得	hua tsyu phiq taq
歪嘴辟腳	歪嘴辟腳	歪嘴辟脚	hua tsyu phiq ciaq
歪笡	歪笡	歪笡	hua chia
歪七𢺵八	歪七𢺵八	歪七𢺵八	hua chiq ji paq
還好	還好	还好	wa hau
還只	還只	还只	wa ciq
還只	還只	还只	gha ciq
懷錶	懷錶	怀表	wa piau
壞賬	壞賬	坏账	wa cian
壞	壞	坏	ua1
壞坯子	壞坯子	坏坯子	ua phei tsy
壞過	壞過	坏过	ua kou
壞喫	壞喫	坏吃	ua chioq
壞喫芋艿頭	壞喫芋艿頭	坏吃芋艿头	ua chioq n na deu
包	包	包	pau1
包子	包子	包子	pau tsy
包梢	包梢	包梢	pau sau
包眼	包眼	包眼	pau ngae
包頭	包頭	包头	pau deu
包頭布	包頭布	包头布	pau deu pu
包打聽	包打聽	包打听	pau tan thin
包管	包管	包管	pau kun
包心菜	包心菜	包心菜	pau shin tshe
包出頭	包出頭	包出头	pau tshyuq deu
胞	胞	胞	pau1
胞漿水	胞漿水	胞浆水	pau cian syu
保鏢	保鑣	保镖	pau piau
保頭人	保頭人	保头人	pau deu gnin
保本	保本	保本	pau pen
保國寺	保國寺	保国寺	pau koq zy
保出來	保出來	保出来	pau tshyuq le
飽膯膯	飽膯膯	饱膯膯	pau ten ten
寶蓋頭	寶蓋頭	宝盖头	pau ke deu
寶貨	寶貨	宝货	pau hou
豹	豹	豹	pau5
報喪	報喪	报丧	pau saon
暴	暴	暴	pau5
爆	爆	爆	pau5
爆冬米胖	爆冬米胖	爆冬米胖	pau ton mi phaon
拋錨	拋錨	抛锚	phau mau
泡	泡	泡	phau5
泡泡糖	泡泡糖	泡泡糖	phau phau daon
泡茶	泡茶	泡茶	phau dzo
泡開水	泡開水	泡开水	phau khe syu
泡飯	泡飯	泡饭	phau vae
泡湯	泡湯	泡汤	phau thaon
泡桐	泡桐	泡桐	phau don
泡○沖○	泡○沖○	泡○冲○	phau tshon
泡沫	泡沫	泡沫	phau maq
炮	炮	炮	phau5
炮仗	炮仗	炮仗	phau jian
刨	刨	刨	bau2
刨花	刨花	刨花	bau huo
刨娘	刨娘	刨娘	bau gnian
跑街先生	跑街先生	跑街先生	bau ka shi san
跑街	跑街	跑街	bau ka
跑鞋	跑鞋	跑鞋	bau gha
跑碼頭個	跑碼頭個	跑码头个	bau mo deu goq
跑單幫	跑單幫	跑单帮	bau tae paon
跑龍套個	跑龍套個	跑龙套个	bau lon thau goq
抱手	抱手	抱手	bau shieu
抱上轎	抱上轎	抱上轿	bau zaon jiau
暴	暴	暴	bau6
暴時	暴時	暴时	bau zy
暴生	暴生	暴生	bau san
莫	莫	莫	mhau1
莫	莫	莫	mau6
莫怕	莫怕	莫怕	mhau pho
莫怕	莫怕	莫怕	mau pho
毛	毛	毛	mau2
毛○	毛○	毛○	mau2
毛線褲	毛綫褲	毛线裤	mau shi khu
毛線衫	毛綫衫	毛线衫	mau shi sae
毛蟹	毛蟹	毛蟹	mau ha
毛毛雨	毛毛雨	毛毛雨	mau mau yu
毛毛蟲	毛毛蟲	毛毛虫	mau mau dzon
毛蚶	毛蚶	毛蚶	mau he
毛藍布	毛藍布	毛蓝布	mau lae pu
毛衫	毛衫	毛衫	mau sae
毛貨	毛貨	毛货	mau hou
毛頭奶花	毛頭奶花	毛头奶花	mau deu na hun
毛豆	毛豆	毛豆	mau deu
毛豆子	毛豆子	毛豆子	mau deu tsy
毛病	毛病	毛病	mau bin
毛巾	毛巾	毛巾	mau cin
毛巾絹帕	毛巾絹帕	毛巾绢帕	mau cin ciu phae
毛巾毯	毛巾毯	毛巾毯	mau cin thae
毛筍	毛笋	毛笋	mau syun
毛壓芋艿	毛壓芋艿	毛压芋艿	mau aq n na
毛腳女婿	毛腳女婿	毛脚女婿	mau ciaq gniu shi
毛竹	毛竹	毛竹	mau tsoq
毛穀籮頭	毛穀籮頭	毛谷箩头	mau koq lou deu
毛栗	毛栗	毛栗	mau liq
茅刀	茅刀	茅刀	mau tau
茅坑	茅坑	茅坑	mau khan
茅針	茅針	茅针	mau cin
卯	卯	卯	mau6
卯眼	卯眼	卯眼	mau ngae
冒	冒	冒	mau6
帽子	帽子	帽子	mau tsy
帽耳朵	帽耳朵	帽耳朵	mau gni to
帽耳朵	帽耳朵	帽耳朵	mau ng to
貓頭鷹	貓頭鹰	猫头鹰	mau deu in
刀	刀	刀	tau1
倒㼑	倒㼑	倒㼑	tau li
倒笡聳	倒笡聳	倒笡耸	tau chia son
