繁體	简体	吴拼	分类	页码
虎跳	虎跳	fu thiau	身体	51
大道	大道	da dau	身体	51
閒白直	闲白直	ghae baq jiq	身体	51
閒話	闲话	ghae wo	身体	51
說話	说话	syuq wo	身体	51
話頭	话头	wo deu	身体	51
話柄	话柄	wo pin	身体	51
講口	讲口	kaon kheu	身体	52
接口令	接口令	ciq kheu lin	身体	52
死話	死话	shi wo	身体	52
亂話	乱话	loe wo	身体	52
忮話	忮话	ji wo	身体	52
脹話	胀话	cian wo	身体	52
誏話	誏话	lhaon wo	身体	52
⿰忄態話	⿰忄态话	the wo	身体	52
平話	平话	bin wo	身体	52
劈直閒話	劈直闲话	phiq jiq ghae wo	身体	52
依心話	依心话	i shin wo	身体	52
過頭話	过头话	kou deu wo	身体	52
好看話	好看话	hau khi wo	身体	52
好看白話	好看白话	hau khi baq wo	身体	52
空頭話	空头话	khon deu wo	身体	52
空頭閒話	空头闲话	khon deu ghae wo	身体	52
氣頭閒話	气头闲话	chi deu ghae wo	身体	52
煞潑閒話	煞泼闲话	saq phaq ghae wo	身体	52
造孽閒話	造孽闲话	zau gniq ghae wo	身体	52
小貨閒話	小货闲话	shiau hou ghae wo	身体	52
小貨說話	小货说话	shiau hou syuq wo	身体	52
靈橋牌普通話	灵桥牌普通话	lin jiau ba phu thon wo	身体	52
胎裏毛病	胎里毛病	the li mau bin	疾病	52
胎裏殘疾	胎里残疾	the li dzae jiq	疾病	52
癩頭	癞头	la deu	疾病	52
癩頭	癞头	la dei	疾病	52
偷針	偷针	theu cin	疾病	52
近𥉻眼	近𥉻眼	jin chi ngae	疾病	52
近覷眼	近觑眼	jin tshyu ngae	疾病	52
鏖糟眼	鏖糟眼	au tsau ngae	疾病	53
青盲瞎	青盲瞎	chin man haq	疾病	53
借米聾	借米聋	cia mi lon	疾病	53
借米聾	借米聋	cian mi lon	疾病	53
齈鼻頭	齈鼻头	nhon baq deu	疾病	53
篤舌頭	笃舌头	toq zhiq deu	疾病	53
𪙞牙	𪙞牙	tshae ngo	疾病	53
𪙞牙	𪙞牙	tshei ngo	疾病	53
泥螺胖	泥螺胖	gni lou phaon	疾病	53
泥螺䨣	泥螺䨣	gni lou phoq	疾病	53
大嘴巴	大嘴巴	dou tsyu po	疾病	53
大嘴脯	大嘴脯	dou tsyu bu	疾病	53
大頭頸	大头颈	dou deu cin	疾病	53
癧串	疬串	liq tshoe	疾病	53
風手	风手	fon shieu	疾病	53
蛇手	蛇手	dzo shieu	疾病	53
蛇手	蛇手	dzo shi	疾病	53
雞爪風	鸡爪风	ci tsau fon	疾病	53
風指甲	风指甲	fon tsy khaq	疾病	53
瘄子	瘄子	tshu tsy	疾病	53
大腳痱子	大脚痱子	dou ciaq fi tsy	疾病	53
癗	癗	lei4	疾病	53
脹面癗	胀面癗	cian mi lei	疾病	53
疹	疹	cin3	疾病	53
熱癤	热疖	gniq ciq	疾病	53
熱癤	热疖	gniq tsoq	疾病	53
熱癤癗	热疖癗	gniq ciq lei	疾病	53
熱癤癗	热疖癗	gniq tsoq lei	疾病	53
熱癤頭	热疖头	gniq ciq deu	疾病	53
熱癤頭	热疖头	gniq tsoq deu	疾病	53
膿線頭	脓线头	non shi deu	疾病	54
凍瘃	冻瘃	ton tsoq	疾病	54
瘃	瘃	tsoq7	疾病	54
皴㿭	皴㿭	tshyun tshaq	疾病	54
嘴角瘡	嘴角疮	tsyu koq tshaon	疾病	54
㾸𤶁	㾸𤶁	kaq lau	疾病	54
楊梅瘡	杨梅疮	yan mei tshaon	疾病	54
纏身龍	缠身龙	ji shin lon	疾病	54
紅斑老瘡	红斑老疮	ghon pae lau tshaon	疾病	54
𥀬	𥀬	i3	疾病	54
⿱厭肉	⿱厌肉	i3	疾病	54
瘢疤	瘢疤	pae po	疾病	54
冷飯塊	冷饭块	lan vae khuei	疾病	54
冷飯得	冷饭得	lan vae taq	疾病	54
圈癬	圈癣	chiu shi	疾病	54
蛇皮癬	蛇皮癣	dzo bi shi	疾病	54
溼氣	湿气	shiq chi	疾病	54
雀子斑	雀子斑	ciaq tsy pae	疾病	54
𧋥蛛斑	𧋥蛛斑	tsoq tsyu pae	疾病	54
老鼠手	老鼠手	lau tsy shieu	疾病	54
老鼠奶奶	老鼠奶奶	lau tsy nhe nhe	疾病	54
刺窠	刺窠	tshy khou	疾病	54
油鱉蛋	油鳖蛋	yeu piq dae	疾病	55
臀趼	臀趼	den kni	疾病	55
坐板瘡	坐板疮	zou pae tshaon	疾病	55
胖陽𣝗	胖阳𣝗	phaon yan waq	疾病	55
臖陽𣝗	臖阳𣝗	hen yan waq	疾病	55
烏青	乌青	u chin	疾病	55
血印	血印	shiuq in	疾病	55
紫血泡	紫血泡	tsy shiuq phau	疾病	55
老鴉臭	老鸦臭	lau o chieu	疾病	55
買㾹病	买㾹病	ma za bin	疾病	55
買㾹病	买㾹病	mau za bin	疾病	55
冷熱病	冷热病	lan gniq bin	疾病	55
間日班	间日班	kae gniq pae	疾病	55
四日兩頭班	四日两头班	sy gniq lian deu pae	疾病	55
氣緊	气紧	chi cin	疾病	55
痚駝	痚驼	hau dou	疾病	55
前駝背	前驼背	zhi dou pei	疾病	55
癆瘵	痨瘵	lau chiq	疾病	55
瘵病	瘵病	chiq bin	疾病	55
黃胖	黄胖	waon phaon	疾病	55
阿黃	阿黄	aq waon	疾病	55
腰子病	腰子病	iau tsy bin	疾病	55
臌脹病	臌胀病	ku cian bin	疾病	55
筲箕肚	筲箕肚	sau ci du	疾病	55
窵角腸癰	窎角肠痈	tiau koq jian ion	疾病	55
虛㽺病	虚㽺病	shiu shiq bin	疾病	55
虛心病	虚心病	shiu shin bin	疾病	55
豬癲病	猪癫病	tsyu ti bin	疾病	56
羊癲病	羊癫病	yan ti bin	疾病	56
羊癲風	羊癫风	yan ti fon	疾病	56
火𤵥病	火𤵥病	hou zau bin	疾病	56
病痼毒	病痼毒	bin ku doq	疾病	56
大卵袋	大卵袋	dou loe de	疾病	56
小腸氣	小肠气	shiau jian chi	疾病	56
尿急病	尿急病	syu ciq bin	疾病	56
大腳風	大脚风	dou ciaq fon	疾病	56
象皮病	象皮病	zhian bi bin	疾病	56
流火	流火	lieu hou	疾病	56
寒熱	寒热	ghei gniq	疾病	56
熱	热	gniq8	疾病	56
熱度	热度	gniq du	疾病	56
爛腳疤	烂脚疤	lae ciaq po	疾病	56
藥圓	药圆	yaq yu	疾病	56
藍藥水	蓝药水	lae yaq syu	疾病	56
快口藥	快口药	khua kheu yaq	疾病	56
戴頭篷	戴头篷	te deu bon	服饰	56
蒲帽	蒲帽	bu mau	服饰	56
涼帽戴篷	凉帽戴篷	lian mau te bon	服饰	56
涼帽篷	凉帽篷	lian mau bon	服饰	56
陽帽戴篷	阳帽戴篷	yan mau te bon	服饰	56
陽帽篷	阳帽篷	yan mau bon	服饰	56
大帽	大帽	da mau	服饰	56
開普帽	开普帽	khe phu mau	服饰	56
鴨舌頭帽	鸭舌头帽	aq zhiq deu mau	服饰	56
羅松帽	罗松帽	lou son mau	服饰	56
活猻帽	活狲帽	waq sen mau	服饰	56
老頭帽	老头帽	lau deu mau	服饰	56
太陽帽	太阳帽	tha yan mau	服饰	57
大蓋帽	大盖帽	dou ke mau	服饰	57
白帽頭	白帽头	baq mau deu	服饰	57
白帽頭	白帽头	baq mau dei	服饰	57
橄欖帽	橄榄帽	kae lae mau	服饰	57
氈帽頭	毡帽头	ci mau deu	服饰	57
氈帽頭	毡帽头	ci mau dei	服饰	57
包頭布	包头布	pau deu pu	服饰	57
軋叉	轧叉	gaq tsha	服饰	57
面油	面油	mi yeu	服饰	57
雪花粉	雪花粉	syuq huo fen	服饰	57
蛤螷油	蛤螷油	kaq bi yeu	服饰	57
嘴脣膏	嘴唇膏	tsyu zyun kau	服饰	57
胭脂	胭脂	i ci	服饰	57
攃眼	攃眼	tsha ngae	服饰	57
老花眼	老花眼	lau huo ngae	服饰	57
耳朵環	耳朵环	gni to guae	服饰	57
耳朵傘	耳朵伞	gni to sae	服饰	57
金牙齒	金牙齿	cin ngo tsy	服饰	57
手鐲	手镯	shieu jiuq	服饰	57
鐲子	镯子	jiuq tsy	服饰	57
鐲頭	镯头	jiuq deu	服饰	57
領圈	领圈	lin chiu	服饰	57
衣衫	衣衫	i sae	服饰	57
衣裳	衣裳	i zaon	服饰	57
布衫	布衫	pu sae	服饰	57
單布衫	单布衫	tae pu sae	服饰	57
添裏布衫	添里布衫	thi li pu sae	服饰	57
襯裏布衫	衬里布衫	tshen li pu sae	服饰	57
夾襖	夹袄	kaq au	服饰	57
兩用衫	两用衫	lian yon sae	服饰	57
連衫連裙	连衫连裙	li sae li jiun	服饰	57
連衫裙	连衫裙	li sae jiun	服饰	57
罩衫	罩衫	tsau sae	服饰	57
絨線衫	绒线衫	gnion shi sae	服饰	58
毛線衫	毛线衫	mau shi sae	服饰	58
背單	背单	pei tae	服饰	58
衛生衫	卫生衫	wei sen sae	服饰	58
司衛鐵	司卫铁	sy wei thiq	服饰	58
領頭	领头	lin deu	服饰	58
假領頭	假领头	ko lin deu	服饰	58
袖頭子	袖头子	zhieu deu tsy	服饰	58
袋袋	袋袋	de de	服饰	58
袋皮	袋皮	de bi	服饰	58
表袋	表袋	piau de	服饰	58
叉手袋	叉手袋	tsho shieu de	服饰	58
後槍袋	后枪袋	gheu chian de	服饰	58
挖袋	挖袋	uaq de	服饰	58
貼袋	贴袋	thiaq de	服饰	58
墊肩	垫肩	di ci	服饰	58
貼紕	贴纰	thiaq bi	服饰	58
貼皮	贴皮	thiaq bi	服饰	58
夾裏	夹里	kaq li	服饰	58
下巴兜	下巴兜	gho po teu	服饰	58
下巴單	下巴单	gho po tae	服饰	58
肚兜	肚兜	du teu	服饰	58
搭袱	搭袱	taq boq	服饰	58
布襴	布襕	pu lae	服饰	58
圍身布襴	围身布襕	yu shin pu lae	服饰	58
飯單	饭单	vae tae	服饰	58
袖套	袖套	zhieu thau	服饰	58
袖套龍	袖套龙	zhieu thau lon	服饰	58
繚繳	缭缴	liau ciau	服饰	58
褓裙	褓裙	bau jiu	服饰	58
蠟燭包	蜡烛包	laq tsoq pau	服饰	58
一口鐘	一口钟	iq kheu tson	服饰	59
派克大衣	派克大衣	pha khaq da i	服饰	59
單褲	单裤	tae khu	服饰	59
單褲湯	单裤汤	tae khu thaon	服饰	59
添裏褲	添里裤	thi li khu	服饰	59
襯裏褲	衬里裤	tshen li khu	服饰	59
襱褲	襱裤	lon khu	服饰	59
籠褲	笼裤	lon khu	服饰	59
短褲	短裤	toe khu	服饰	59
西裝短褲	西装短裤	shi tsaon toe khu	服饰	59
衛生褲	卫生裤	wei sen khu	服饰	59
𤖼腳褲	𤖼脚裤	phaq ciaq khu	服饰	59
㒼襠褲	㒼裆裤	mun taon khu	服饰	59
瞞襠褲	瞒裆裤	mun taon khu	服饰	59
鞔襠褲	鞔裆裤	mun taon khu	服饰	59
褲腳	裤脚	khu ciaq	服饰	59
褲腳筒	裤脚筒	khu ciaq don	服饰	59
褲帶縛	裤带缚	khu ta bou	服饰	59
尿衲布	尿衲布	syu naq pu	服饰	59
尿布	尿布	syu pu	服饰	59
尿衲	尿衲	syu naq	服饰	59
尿衲布頭	尿衲布头	syu naq pu deu	服饰	59
衲頭	衲头	naq deu	服饰	59
大衲	大衲	dou naq	服饰	59
上山襪	上山袜	zaon sae maq	服饰	59
長統襪	长统袜	jian thon maq	服饰	59
木屐	木屐	moq jiq	服饰	59
木屐鞋	木屐鞋	moq jiq gha	服饰	59
風涼鞋	风凉鞋	fon lian gha	服饰	59
風涼皮鞋	风凉皮鞋	fon lian bi gha	服饰	59
跑鞋	跑鞋	bau gha	服饰	60
籃球鞋	篮球鞋	lae jieu gha	服饰	60
胎鞋	胎鞋	the gha	服饰	60
鞋爿	鞋爿	gha bae	服饰	60
搭襻	搭襻	taq phae	服饰	60
螞蟥襻	蚂蟥襻	mo waon phae	服饰	60
跺底	跺底	tho ti	服饰	60
鞋拔	鞋拔	gha baq	服饰	60
栢	栢	paq7	服饰	60
襉	裥	kae3	服饰	60
寬緊帶	宽紧带	khun cin ta	服饰	60
撳紐	揿纽	chin gnieu	服饰	60
料作	料作	liau tsoq	服饰	60
緞子	缎子	doe tsy	服饰	60
毛貨	毛货	mau hou	服饰	60
海虎絨	海虎绒	he fu gnion	服饰	60
帵子	帵子	uae tsy	服饰	60
裁片	裁片	ze phi	服饰	60
儾頭	儾头	naon deu	服饰	60
段頭	段头	thoe deu	服饰	60
大白細布	大白细布	da baq shi pu	服饰	60
花絮	花絮	huo shi	服饰	60
頭繩	头绳	deu zhin	服饰	61
絨線	绒线	gnion shi	服饰	61
棉紗線	棉纱线	mi so shi	服饰	61
線腳	线脚	shi ciaq	服饰	61
絹帕	绢帕	ciu phae	服饰	61
絹頭	绢头	ciu deu	服饰	61
蘇頭	苏头	su deu	服饰	61
飯	饭	vae6	食品	61
早米	早米	tsau mi	食品	61
大米	大米	da mi	食品	61
夜火米	夜火米	ya hou mi	食品	61
泡飯	泡饭	phau vae	食品	61
湯飯	汤饭	thaon vae	食品	61
煦飯	煦饭	heu vae	食品	61
煆飯	煆饭	huo vae	食品	61
蒸飯	蒸饭	cin vae	食品	61
燥粥𤿏飯	燥粥𤿏饭	sau tsoq nei vae	食品	61
燥烤飯	燥烤饭	sau khau vae	食品	61
純米飯	纯米饭	zyun mi vae	食品	61
冷飯孃	冷饭娘	lan vae gnian	食品	61
飯黏	饭黏	vae kni	食品	61
飯黏碎	饭黏碎	vae kni sei	食品	61
鑊焦	镬焦	ghoq ciau	食品	61
鑊滯	镬滞	ghoq dzyu	食品	61
飯鑊飲湯	饭镬饮汤	vae ghoq in thaon	食品	61
粥飲湯	粥饮汤	tsoq in thaon	食品	62
飯碗頭	饭碗头	vae un deu	食品	62
隔夜飯	隔夜饭	kaq ya vae	食品	62
天亮飯	天亮饭	thi gnian vae	食品	62
天亮飯	天亮饭	thiq gnian vae	食品	62
晝飯	昼饭	cieu vae	食品	62
晝過飯	昼过饭	cieu kou vae	食品	62
早晝飯	早昼饭	tsau cieu vae	食品	62
早晝過飯	早昼过饭	tsau cieu kou vae	食品	62
夜飯	夜饭	ya vae	食品	62
早夜飯	早夜饭	tsau ya vae	食品	62
上點心	上点心	zaon ti shin	食品	62
上點心	上点心	zaon te shin	食品	62
下點心	下点心	gho te shin	食品	62
下點心	下点心	gho ti shin	食品	62
早半晌飯	早半晌饭	tsau pun zaon vae	食品	62
點心飯	点心饭	ti shin vae	食品	62
點心飯	点心饭	te shin vae	食品	62
半夜餐	半夜餐	pun ya tshae	食品	62
長麪	长面	jian mi	食品	62
索麪	索面	soq mi	食品	62
切麪	切面	chiq mi	食品	62
盤麪	盘面	bun mi	食品	62
筒頭麪	筒头面	don deu mi	食品	62
米麪	米面	mi mi	食品	62
榨麪	榨面	tso mi	食品	62
澆頭	浇头	ciau deu	食品	62
下飯	下饭	gho vae	食品	62
嗄飯	嗄饭	gho vae	食品	62
⿰飠夏飯	⿰饣夏饭	gho vae	食品	62
素下飯	素下饭	su gho vae	食品	63
葷下飯	荤下饭	huen gho vae	食品	63
大下飯	大下饭	dou gho vae	食品	63
長下飯	长下饭	jian gho vae	食品	63
過口	过口	kou kheu	食品	63
壓飯榔頭	压饭榔头	aq vae laon deu	食品	63
冷盆	冷盆	lan ben	食品	63
拼盆	拼盆	phin ben	食品	63
鑲盆	镶盆	shian ben	食品	63
汁水	汁水	ciq syu	食品	63
汁湯	汁汤	ciq thaon	食品	63
滷	卤	lu2	食品	63
鹵滯	卤滞	lu dzyu	食品	63
臭滷	臭卤	chieu lu	食品	63
葷腥	荤腥	huen shin	食品	63
肉	肉	gnioq8	食品	63
熱氣肉	热气肉	gniq chi gnioq	食品	63
冷氣肉	冷气肉	lan chi gnioq	食品	63
油肉	油肉	yeu gnioq	食品	63
走油肉	走油肉	tseu yeu gnioq	食品	63
精肉	精肉	cin gnioq	食品	63
腈肉	腈肉	cin gnioq	食品	63
肉餅子	肉饼子	gnioq pin tsy	食品	63
肉圓	肉圆	gnioq yu	食品	63
獅子頭	狮子头	sy tsy deu	食品	63
醃𤒘鮮	腌𤒘鲜	i toq shi	食品	63
福禮	福礼	foq li	食品	63
利市	利市	li zy	食品	64
利市頭	利市头	li zy deu	食品	64
順風	顺风	zyun fon	食品	64
賺頭	赚头	dzae deu	食品	64
𧱝頭	𧱝头	chiun deu	食品	64
嘴脯	嘴脯	tsyu bu	食品	64
蹄髈	蹄髈	di phaon	食品	64
髈蹄	髈蹄	phaon di	食品	64
後坐臀	后坐臀	gheu zou den	食品	64
槽頭肉	槽头肉	zau deu gnioq	食品	64
條肉	条肉	diau gnioq	食品	64
肋條	肋条	laq diau	食品	64
腿肉	腿肉	thei gnioq	食品	64
宕子	宕子	dan tsy	食品	64
前夾身	前夹身	zhi kaq shin	食品	64
前夾	前夹	zhi kaq	食品	64
後夾身	后夹身	gheu kaq shin	食品	64
後夾	后夹	gheu kaq	食品	64
五花肉	五花肉	ng huo gnioq	食品	64
叉叉	叉叉	tsho tsho	食品	64
肚叉叉	肚叉叉	du tsho tsho	食品	64
肉膛	肉膛	gnioq daon	食品	64
膛子	膛子	daon tsy	食品	64
腳蹄	脚蹄	ciaq di	食品	64
腳爪	脚爪	ciaq tsau	食品	64
網油	网油	maon yeu	食品	64
肚裏貨	肚里货	du li hou	食品	64
肺頭	肺头	fi deu	食品	64
搭肝	搭肝	taq ki	食品	65
肫	肫	tsyun1	食品	65
翼梢	翼梢	yiq sau	食品	65
翼梢股	翼梢股	yiq sau ku	食品	65
翼梢膀	翼梢膀	yiq sau paon	食品	65
翼梢膀	翼梢膀	yiq sau po	食品	65
肚下白	肚下白	du gho baq	食品	65
灰蛋	灰蛋	huei dae	食品	65
白煠蛋	白煠蛋	baq zaq dae	食品	65
糖煮蛋	糖煮蛋	daon tsy dae	食品	65
糖氽蛋	糖氽蛋	daon then dae	食品	65
魚草	鱼草	ng tshau	食品	65
張網貨	张网货	cian maon hou	食品	65
淡菜	淡菜	dae tshe	食品	65
蠣黃	蛎黄	li uaon	食品	65
毛蚶	毛蚶	mau he	食品	65
蛤螷	蛤螷	kaq bi	食品	65
蛤皮	蛤皮	kaq bi	食品	65
圓蛤	圆蛤	yu kaq	食品	65
花蛤	花蛤	huo kaq	食品	65
海瓜子	海瓜子	he kuo tsy	食品	65
彈胡	弹胡	dae wu	食品	65
彈路	弹路	dae lu	食品	65
白蟹	白蟹	baq ha	食品	65
鮮白蟹	鲜白蟹	shi baq ha	食品	65
小娘蟹	小娘蟹	shiau gnian ha	食品	65
紫殼蟹	紫壳蟹	tsy khoq ha	食品	65
紫殼蟹	紫壳蟹	tsy khaon ha	食品	65
彈門蟹	弹门蟹	dae men ha	食品	66
石蟹	石蟹	zaq ha	食品	66
青蟹	青蟹	chin ha	食品	66
沙蟹	沙蟹	so ha	食品	66
膏蟹	膏蟹	kau ha	食品	66
和尚蟹	和尚蟹	ghou zaon ha	食品	66
紅鉗蟹	红钳蟹	ghon ji ha	食品	66
蟛蚏蟹	蟛蚏蟹	baon gniu ha	食品	66
毛蟹	毛蟹	mau ha	食品	66
稻蟹	稻蟹	dau ha	食品	66
⿰鹵倉蟹	⿰卤仓蟹	chian ha	食品	66
鹹蟹	咸蟹	ghae ha	食品	66
鹹⿰鹵倉蟹	咸⿰卤仓蟹	ghae chian ha	食品	66
紅膏⿰鹵倉蟹	红膏⿰卤仓蟹	ghon kau chian ha	食品	66
蟹醬	蟹酱	ha cian	食品	66
蟹糊	蟹糊	ha wu	食品	66
蟹股	蟹股	ha ku	食品	66
蟹蓋頭	蟹盖头	ha ke deu	食品	66
蟹殼頂	蟹壳顶	ha khoq tin	食品	66
膏	膏	kau1	食品	66
蟹米鬚	蟹米须	ha mi su	食品	66
蟹腳鉗	蟹脚钳	ha ciaq ji	食品	66
蟹鉗	蟹钳	ha ji	食品	66
蟹肚子	蟹肚子	ha tu tsy	食品	66
蟹包	蟹包	ha pau	食品	66
蟹肚臍	蟹肚脐	ha du ji	食品	66
團臍	团脐	doe ji	食品	67
長臍	长脐	jian ji	食品	67
江白蝦	江白虾	kaon baq huo	食品	67
強盜蝦	强盗虾	jian dau huo	食品	67
滑皮蝦	滑皮虾	waq bi huo	食品	67
活皮蝦	活皮虾	waq bi huo	食品	67
竹節蝦	竹节虾	tsoq ciq huo	食品	67
水蝦	水虾	syu huo	食品	67
白米飯蝦	白米饭虾	baq mi vae huo	食品	67
糯米飯蝦	糯米饭虾	nou mi vae huo	食品	67
⿰鹵倉蝦	⿰卤仓虾	chian huo	食品	67
醉蝦	醉虾	tsei huo	食品	67
箬鰨	箬鳎	gnioq thaq	食品	67
鰙鰨	鰙鳎	gnioq thaq	食品	67
箬鰨魚	箬鳎鱼	gnioq thaq ng	食品	67
鰨鰻	鳎鳗	thaq mun	食品	67
借手箬鰨	借手箬鳎	cia shieu gnioq thaq	食品	67
順手箬鰨	顺手箬鳎	zyun shieu gnioq thaq	食品	67
川烏	川乌	tshoe u	食品	67
青鱄魚	青𫚋鱼	chin tsoe ng	食品	67
叉魚	叉鱼	tsho ng	食品	67
叉扁魚	叉扁鱼	tsho pi ng	食品	67
長鱗	长鳞	jian lin	食品	67
黑叉	黑叉	haq tsho	食品	67
鰳魚	鳓鱼	lei ng	食品	67
鮮白鰳魚	鲜白鳓鱼	shi baq lei ng	食品	67
鹹鰳魚	咸鳓鱼	ghae lei ng	食品	67
鱭魚	鲚鱼	ji ng	食品	67
黃鮚	黄鲒	waon ciq	食品	67
⿱寨魚	⿱寨鱼	dza ng	食品	67
⿱寨魚	⿱寨鱼	za ng	食品	67
鮸魚	𩾃鱼	mi ng	食品	68
米魚	米鱼	mi ng	食品	68
毛鱨魚	毛鲿鱼	mau dzaon ng	食品	68
黃婆雞	黄婆鸡	waon bou ci	食品	68
黃草雞	黄草鸡	waon tshau ci	食品	68
白果子	白果子	baq kou tsy	食品	68
梅魚	梅鱼	mei ng	食品	68
小梅魚	小梅鱼	shiau mei ng	食品	68
大頭梅蒜	大头梅蒜	dou deu mei soe	食品	68
楓樹葉	枫树叶	fon zyu yiq	食品	68
蝦𩻣	虾𩻣	huo zae	食品	68
蝦𩻣	虾𩻣	huo dzae	食品	68
蝦皮彈蟲	虾皮弹虫	huo bi dae dzon	食品	68
蝦蛄彈	虾蛄弹	huo ku dae	食品	68
蝦步彈	虾步弹	huo bu dae	食品	68
望潮	望潮	maon jiau	食品	68
章舉	章举	tsaon ciu	食品	68
章魚	章鱼	tsaon ng	食品	68
章乾	章干	tsaon ki	食品	68
鬼公	鬼公	ciu kon	食品	68
嘰咕	叽咕	ci ku	食品	68
烏賊卵黃	乌贼卵黄	u zaq loe waon	食品	68
烏賊蛋	乌贼蛋	u zaq dae	食品	68
烏賊肚腸	乌贼肚肠	u zaq du jian	食品	68
烏賊鰾腸	乌贼鳔肠	u zaq biau jian	食品	68
沙鰻	沙鳗	so mun	食品	68
明府鯗	明府鲞	min fu shian	食品	68
烏賊鯗	乌贼鲞	u zaq shian	食品	68
黃魚鯗	黄鱼鲞	waon ng shian	食品	69
白鯗	白鲞	baq shian	食品	69
鰻鯗	鳗鲞	mun shian	食品	69
鰻筒	鳗筒	mun don	食品	69
銀魚絲	银鱼丝	gnin ng sy	食品	69
開洋	开洋	khe yan	食品	69
鮳頭	鲓头	khau deu	食品	69
龍頭鮳	龙头鲓	lon deu khau	食品	69
豆莢鮳	豆荚鲓	deu ciaq khau	食品	69
帶魚絲鮳	带鱼丝鲓	ta ng sy khau	食品	69
梅子鮳	梅子鲓	mei tsy khau	食品	69
鹵菜	卤菜	lu tshe	食品	69
河鯽魚	河鲫鱼	ghou ci ng	食品	69
河鯽魚	河鲫鱼	ghou cin ng	食品	69
胖頭魚	胖头鱼	phaon deu ng	食品	69
塘魚	塘鱼	daon ng	食品	69
白鰱	白鲢	baq li	食品	69
烏鱧魚	乌鳢鱼	u li ng	食品	69
鮊魚	鲌鱼	ba ng	食品	69
翹嘴鮊魚	翘嘴鲌鱼	chiau tsyu ba ng	食品	69
青條	青条	chin diau	食品	69
差魚	差鱼	tsha ng	食品	69
差鮊魚	差鲌鱼	tsha ba ng	食品	70
螺螄青	螺蛳青	lou sy chin	食品	70
土鯆魚	土𫚙鱼	thu bu ng	食品	70
䱀顙魚	𫚐颡鱼	aon saon ng	食品	70
烏浪魚	乌浪鱼	u laon ng	食品	70
鬼魚	鬼鱼	ciu ng	食品	70
烏浪鯗	乌浪鲞	u laon shian	食品	70
烏浪魚鯗	乌浪鱼鲞	u laon ng shian	食品	70
鬼魚鯗	鬼鱼鲞	ciu ng shian	食品	70
黃鱔	黄鳝	waon yi	食品	70
鱔魚	鳝鱼	zoe ng	食品	70
老黃泥鰍	老黄泥鳅	lau waon gni chieu	食品	70
豁水	豁水	huaq syu	食品	70
鰭槍	鳍枪	ji chian	食品	70
螄螺	蛳螺	sy lou	食品	70
割螄螺	割蛳螺	kaq sy lou	食品	70
黃蜆	黄蚬	waon shi	食品	70
橋蜆	桥蚬	jiau shi	食品	70
地作貨	地作货	di tsoq hou	食品	70
番薯	番薯	fae zyu	食品	70
番薯乾	番薯干	fae zyu ki	食品	70
焐番薯乾	焐番薯干	u fae zyu ki	食品	70
番薯糊剌	番薯糊剌	fae zyu wu la	食品	70
番薯屑	番薯屑	fae zyu shiq	食品	70
番薯片	番薯片	fae zyu phi	食品	70
番薯角	番薯角	fae zyu koq	食品	70
六穀	六谷	loq koq	食品	71
蘆稷	芦稷	lu ci	食品	71
夜稻	夜稻	ya dau	食品	71
連作稻	连作稻	li tsoq dau	食品	71
晚青	晚青	mae chin	食品	71
稻佩	稻佩	dau bei	食品	71
稻枚	稻枚	dau mei	食品	71
倭豆	倭豆	ou deu	食品	71
倭豆莢	倭豆荚	ou deu ci	食品	71
豆板	豆板	deu pae	食品	71
蘭花倭豆	兰花倭豆	lae huo ou deu	食品	71
羅漢豆	罗汉豆	lou he deu	食品	71
蠶豆	蚕豆	zei deu	食品	71
細倭豆	细倭豆	shi ou deu	食品	71
赤豆	赤豆	tshaq deu	食品	71
帶豆	带豆	ta deu	食品	71
梅豆	梅豆	mei deu	食品	71
延笆豆	延笆豆	yi po deu	食品	71
扁豆	扁豆	pi deu	食品	71
果肉	果肉	kou gnioq	食品	71
洋芋艿	洋芋艿	yan n na	食品	71
洋番薯	洋番薯	yan fae zyu	食品	71
紅毛番薯	红毛番薯	ghon mau fae zyu	食品	71
毛芋艿	毛芋艿	mau n na	食品	71
毛壓芋艿	毛压芋艿	mau aq n na	食品	71
芋艿子	芋艿子	n na tsy	食品	71
芋艿頭	芋艿头	n na deu	食品	71
芋艿爊雞	芋艿爊鸡	n na au ci	食品	72
爊雞芋艿	爊鸡芋艿	au ci n na	食品	72
天菜	天菜	thi tshe	食品	72
盆子菜	盆子菜	ben tsy tshe	食品	72
脫褲菜	脱裤菜	thaq khu tshe	食品	72
軟菜	软菜	gniu tshe	食品	72
莙薘	莙荙	ciun daq	食品	72
膠菜	胶菜	ciau tshe	食品	72
黃芽菜	黄芽菜	waon ian tshe	食品	72
包心菜	包心菜	pau shin tshe	食品	72
捲心菜	卷心菜	ciu shin tshe	食品	72
青大頭	青大头	chin dou deu	食品	72
白大頭	白大头	baq dou deu	食品	72
黑油筒	黑油筒	haq yeu don	食品	72
黑油菜	黑油菜	haq yeu tshe	食品	72
小郎菜	小郎菜	shiau laon tshe	食品	72
小堂菜	小堂菜	shiau daon tshe	食品	72
蒿菜	蒿菜	hau tshe	食品	72
菠𦼊	菠𦼊	pou len	食品	72
菠薐	菠薐	pou len	食品	72
花菜	花菜	huo tshe	食品	72
菜心	菜心	tshe shin	食品	72
菜蕻	菜蕻	tshe hon	食品	72
